WL(nm),Pan,Coastal,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
572.5,0.759162,0,0.000041,0.993053,0.000344,0,0.000002,0,0
575,0.759818,0,0.000031,0.979121,0.000895,0,0.000003,0,0
577.5,0.779983,0.000002,0.00003,0.907745,0.002225,0,0.000003,0,0
580,0.794085,0.000002,0.000017,0.66404,0.005879,0,0.000004,0,0.000001
582.5,0.797935,0,0.000017,0.301436,0.026557,0,0.000007,0,0
585,0.800715,0,0.000014,0.092924,0.134652,0.000001,0.000006,0,0
587.5,0.811351,0,0.000011,0.025239,0.38922,0.000001,0.000005,0,0
590,0.81929,0.000001,0.000013,0.005563,0.66355,0.000001,0.000007,0,0
592.5,0.820814,0.000003,0.000009,0.002477,0.848198,0.000001,0.000011,0,0.000001
595,0.82303,0.000004,0.000009,0.001129,0.899806,0.000001,0.000014,0,0.000001
597.5,0.829794,0.000003,0.000009,0.000508,0.920023,0.000009,0.000016,0,0
600,0.838869,0.000001,0.000008,0.000223,0.932634,0.000013,0.000024,0,0.000001
602.5,0.848913,0.000002,0.000009,0.000107,0.940181,0.000027,0.000034,0,0
605,0.860802,0.000001,0.000009,0.000054,0.947026,0.000041,0.000037,0,0.000001
607.5,0.858037,0.000001,0.000008,0.000026,0.952441,0.00007,0.00004,0,0.000001
610,0.858462,0.000002,0.000008,0.000007,0.966412,0.000123,0.000054,0,0.000001
612.5,0.865197,0.000003,0.000009,0.000004,0.981469,0.000269,0.000079,0,0.000001
615,0.870285,0.000006,0.000007,0.000002,0.989723,0.000628,0.000088,0,0
617.5,0.877932,0.000012,0.000007,0,0.992706,0.001649,0.000076,0,0
620,0.889278,0.00001,0.000008,0.000002,1,0.004867,0.00009,0,0.000001
622.5,0.896475,0.000006,0.000006,0.000002,0.969368,0.022761,0.000174,0,0.000001
625,0.909253,0.000004,0.000006,0.000006,0.759433,0.095566,0.000185,0,0.000001
627.5,0.91308,0.000003,0.000006,0.000009,0.436651,0.294353,0.000052,0,0.000001
630,0.917885,0.000003,0.000004,0.000015,0.134322,0.596071,0.000009,0,0.000001
632.5,0.914221,0.000003,0.000003,0.000016,0.030853,0.822289,0.000004,0,0
635,0.910762,0.000002,0.000004,0.000026,0.007385,0.872776,0.000003,0,0
637.5,0.916979,0.000003,0.000004,0.000033,0.002237,0.885335,0.000001,0,0.000001
640,0.92489,0.000003,0.000003,0.000029,0.000691,0.927928,0.000001,0,0
642.5,0.93683,0.000003,0.000004,0.000027,0.000285,0.955695,0.000001,0,0.000001
645,0.950791,0.000002,0.000004,0.000024,0.000158,0.965042,0.000001,0,0.000001
647.5,0.943998,0.000002,0.000003,0.000014,0.000096,0.967095,0.000003,0,0.000001
